%Time,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens
43823, 14.5,8.1,NaN,3.9,1.95
43830, 29.5,10.8,1.3,3.9,1.95
43838, 37.4,12.8,3,3.9,1.95
43845, 34,12.5,4.7,3.9,1.95
43852, 34.7,10.9,5.9,3.9,1.95
43859, 36.2,11.4,6.9,3.9,1.95
43866, 32.4,10.6,7.9,3.9,1.95
43873, 37.2,11.1,9.3,3.9,1.95
43880, 37.8,11.3,10.5,3.9,1.95
43887, 35.8,11.6,11.8,3.9,1.95
43894, 35.9,11.7,13.1,3.9,1.95
43901, 36,12.0,14.7,3.9,1.95
43908, 39.8,11.3,16.1,3.9,1.95
43915, 37.8,10.8,17.4,5.85,1.95
43922, 35,10.0,18.8,5.85,1.95
43929, 33.2,9.8,20.2,5.85,1.95
43936, 30.7,9.6,21.7,5.85,1.95
43943, 26.8,8.8,22.6,5.85,1.95
43950, NaN,NaN,22.6,5.85,1.95
43957, NaN,NaN,NaN,5.85,1.95
43964, NaN,NaN,NaN,5.85,1.95
43971, NaN,NaN,NaN,5.85,1.95
43978, NaN,NaN,NaN,5.85,1.95
