days,timestamp,effective_plant_density,fixed_total_wur,fixed_plants,fixed_gh,fixed_light,fixed_co2,var_electricity,var_gas,var_co2,var_penalty,plant_density
1,2022-05-03,0.0,3.211,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,90.0
2,2022-05-04,90.0,3.292,10.8,0.047,0.023,0.004,0.0,0.02,0.002,0.0,90.0
3,2022-05-05,90.0,3.373,10.8,0.093,0.047,0.008,0.0,0.033,0.004,0.0,90.0
4,2022-05-06,90.0,3.454,10.8,0.14,0.07,0.012,0.0,0.048,0.006,0.0,90.0
5,2022-05-07,90.0,3.534,10.8,0.186,0.093,0.016,0.0,0.063,0.009,0.0,90.0
6,2022-05-08,90.0,3.615,10.8,0.233,0.117,0.021,0.0,0.073,0.014,0.0,90.0
7,2022-05-09,90.0,3.696,10.8,0.279,0.14,0.025,0.0,0.094,0.017,0.0,90.0
8,2022-05-10,90.0,3.777,10.8,0.326,0.163,0.029,0.0,0.115,0.021,0.0,90.0
9,2022-05-11,90.0,3.858,10.8,0.373,0.186,0.033,0.0,0.125,0.029,0.0,90.0
10,2022-05-12,90.0,3.939,10.8,0.419,0.21,0.037,0.0,0.139,0.037,0.0,90.0
11,2022-05-13,90.0,4.019,10.8,0.466,0.233,0.041,0.0,0.158,0.044,0.0,90.0
12,2022-05-14,86.0833,4.146,10.33,0.512,0.256,0.045,0.0,0.175,0.053,0.0,58.2
13,2022-05-15,83.075,4.231,9.969,0.559,0.28,0.049,0.0,0.198,0.059,0.0,58.5
14,2022-05-16,80.6917,4.315,9.683,0.605,0.303,0.053,0.0,0.206,0.069,0.0,58.8
15,2022-05-17,78.75,4.4,9.45,0.652,0.326,0.058,0.0,0.226,0.073,0.0,58.9
16,2022-05-18,75.0,4.547,9.0,0.699,0.35,0.062,0.0,0.237,0.076,0.0,43.7
17,2022-05-19,72.0,4.636,8.64,0.745,0.373,0.066,0.0,0.237,0.079,0.0,43.9
18,2022-05-20,66.525,4.794,7.983,0.792,0.396,0.07,0.018,0.237,0.082,0.0,29.0
19,2022-05-21,62.3083,4.888,7.477,0.838,0.419,0.074,0.042,0.244,0.084,0.0,29.1
20,2022-05-22,58.9667,4.981,7.076,0.885,0.443,0.078,0.043,0.262,0.088,0.0,29.2
21,2022-05-23,56.25,5.074,6.75,0.932,0.466,0.082,0.045,0.273,0.091,0.0,29.3
22,2022-05-24,52.5,5.254,6.3,0.978,0.489,0.086,0.058,0.276,0.094,0.0,21.9
23,2022-05-25,49.5,5.351,5.94,1.025,0.513,0.09,0.06,0.296,0.097,0.0,21.9
24,2022-05-26,47.0417,5.449,5.645,1.071,0.536,0.095,0.06,0.309,0.1,0.0,22.0
25,2022-05-27,45.0,5.546,5.4,1.118,0.559,0.099,0.06,0.311,0.105,0.0,22.0
26,2022-05-28,42.45,5.746,5.094,1.164,0.583,0.103,0.06,0.312,0.108,0.0,17.6
27,2022-05-29,40.3417,5.847,4.841,1.211,0.606,0.107,0.06,0.313,0.111,0.0,17.6
28,2022-05-30,38.575,5.948,4.629,1.258,0.629,0.111,0.06,0.321,0.114,0.0,17.7
29,2022-05-31,37.0583,6.05,4.447,1.304,0.652,0.115,0.06,0.326,0.117,0.0,17.6
30,2022-06-01,35.75,6.152,4.29,1.351,0.676,0.119,0.06,0.331,0.12,0.0,17.7
31,2022-06-02,34.6167,6.252,4.154,1.397,0.699,0.123,0.06,0.333,0.124,0.0,17.7
32,2022-06-03,33.6167,6.354,4.034,1.444,0.722,0.127,0.06,0.336,0.127,0.0,17.7
33,2022-06-04,32.725,6.456,3.927,1.49,0.746,0.132,0.06,0.337,0.132,0.0,17.7
34,2022-06-05,31.9333,6.557,3.832,1.537,0.769,0.136,0.06,0.338,0.136,0.0,17.8
35,2022-06-06,31.225,6.658,3.747,1.584,0.792,0.14,0.06,0.342,0.138,0.0,17.8
36,2022-06-07,30.5833,6.759,3.67,1.63,0.816,0.144,0.06,0.342,0.143,0.0,17.8
37,2022-06-08,30.0,6.861,3.6,1.677,0.839,0.148,0.06,0.344,0.147,0.0,17.8
38,2022-06-09,29.4667,6.962,3.536,1.723,0.862,0.152,0.06,0.345,0.151,0.0,17.8
39,2022-06-10,28.9833,7.064,3.478,1.77,0.885,0.156,0.06,0.347,0.155,0.0,17.9
40,2022-06-11,28.5333,7.165,3.424,1.816,0.909,0.16,0.06,0.348,0.16,0.0,17.8
41,2022-06-12,28.125,7.266,3.375,1.863,0.932,0.164,0.06,0.35,0.165,0.0,17.9
42,2022-06-13,27.7417,7.368,3.329,1.91,0.955,0.168,0.06,0.351,0.169,0.0,17.8
43,2022-06-14,27.3917,7.469,3.287,1.956,0.979,0.173,0.06,0.352,0.174,0.0,17.9
44,2022-06-15,27.0667,7.57,3.248,2.003,1.002,0.177,0.06,0.355,0.177,0.0,17.9
45,2022-06-16,26.7583,7.672,3.211,2.049,1.025,0.181,0.06,0.36,0.181,0.0,17.8
46,2022-06-17,26.4667,7.774,3.176,2.096,1.049,0.185,0.06,0.363,0.185,0.0,17.8
